Date,POUND_Rate,Buy,Sell
16/05/2022,142.6091,142.4629,142.7553
13/05/2022,142.965,142.8235,143.1065
12/5/2022,143.6565,143.5129,143.8
11/5/2022,143.7497,143.61,143.8894
10/5/2022,143.9041,143.7647,144.0435
9/5/2022,143.9691,143.8235,144.1147
6/5/2022,144.9232,144.7747,145.0718
5/5/2022,145.51,145.3641,145.6559
4/5/2022,145.3526,145.2088,145.4965
28/04/2022,146.0897,145.9429,146.2365
27/04/2022,147.34,147.19,147.49
26/04/2022,148.0594,147.9141,148.2047
25/04/2022,149.4556,149.3053,149.6059
22/04/2022,150.8865,150.7324,151.0406
21/04/2022,150.8771,150.7235,151.0306
20/04/2022,150.6156,150.4647,150.7665
19/04/2022,151.3844,151.2306,151.5382
14/04/2022,150.3085,150.1576,150.4594
13/04/2022,150.4412,150.2929,150.5894
12/4/2022,150.3391,150.1871,150.4912
11/4/2022,150.5041,150.3535,150.6547
8/4/2022,150.7871,150.6335,150.9406
7/4/2022,150.8544,150.7,151.0088
6/4/2022,151.155,151,151.31
5/4/2022,150.9524,150.8035,151.1012
4/4/2022,150.8935,150.7382,151.0488
1/4/2022,150.9494,150.7953,151.1035
31/03/2022,151.1268,150.9747,151.2788
30/03/2022,150.3429,150.1882,150.4976
29/03/2022,151.0572,150.9069,151.2075
28/03/2022,151.4079,151.2535,151.5624
25/03/2022,151.3032,151.1535,151.4529
24/03/2022,151.4982,151.3476,151.6488
23/03/2022,151.3297,151.1765,151.4829
22/03/2022,150.6421,150.4906,150.7935
21/03/2022,150.3156,150.1618,150.4694
18/03/2022,150.4456,150.2865,150.6047
17/03/2022,149.8271,149.6765,149.9776
16/03/2022,149.7074,149.5571,149.8576
15/03/2022,150.0415,149.8876,150.1953
14/03/2022,150.5582,150.4065,150.71
11/3/2022,150.4062,150.2559,150.5565
10/3/2022,150.0571,149.91,150.2041
9/3/2022,150.1944,150.0435,150.3453
8/3/2022,150.75,150.6,150.9
7/3/2022,151.8965,151.7353,152.0576
4/3/2022,152.4115,152.2553,152.5676
3/3/2022,152.2453,152.0894,152.4012
2/3/2022,152.8182,152.6641,152.9724
1/3/2022,152.7197,152.5671,152.8724
28/02/2022,152.6794,152.5265,152.8324
25/02/2022,152.8926,152.7353,153.05
24/02/2022,154.7103,154.5541,154.8665
23/02/2022,154.225,154.0682,154.3818
22/02/2022,154.4291,154.2718,154.5865
21/02/2022,154.3968,154.2412,154.5524
18/02/2022,154.3015,154.1459,154.4571
17/02/2022,153.8718,153.7176,154.0259
16/02/2022,153.8129,153.6588,153.9671
15/02/2022,153.6891,153.5335,153.8447
